System.Id,System.AreaPath,Node Name,SM POC,AD POC,System.State,Microsoft.VSTS.Common.Severity,Custom.Application,System.Title
4361183,AutomationProcess_29697\mySPIntegratedSolutionPlatform\TechAvengers,TechAvengers,jayanth.kumar,madhuri.chintala,Ready to Deploy,3 - Medium,SI,Feb_21 | SI | Standard RateCard | Filter and More Options (3-dots) menu opens behind ?Include New Rate Card? popup
4361596,AutomationProcess_29697\mySPVisionToValue\Everest,Everest,suresh.devarajan,srinivasan.sivakumar,Active,3 - Medium,Global,"Feb 21st| UAT1| Mobilization Calculator| Bottom Up| When user select the checkbox in define wave strategy , getting difference for Phase FTES compared to without checkbox in define wave strategy"
4361657,AutomationProcess_29697\mySPIntegratedSolutionPlatform\DevNinjas,DevNinjas,c.dhiman,madhuri.chintala,Blocked,3 - Medium,Mycloud,Feb 21st | UAT | What Are We Solving For | Preliminary Assessment | if i select role as support SA song but still Start assignment is showing disable mode and without select the song roles but start assignment button is showing enabled
4361944,AutomationProcess_29697\mySPIntegratedSolutionPlatform\TechAvengers,TechAvengers,jayanth.kumar,madhuri.chintala,Ready to Deploy,3 - Medium,Global,21 Feb | UAT 1 | PLD | Solution Components | Generate Pricing option is enable under One Click Pricing for Cross Service Lead.
4362094,AutomationProcess_29697\mySPIntegratedSolutionPlatform\Pacemakers,Pacemakers,c.dhiman,madhuri.chintala,Re-open,3 - Medium,Global,21st Feb | UAT | UAT 1| as Cross service lead delete some roles from Dashboard roles are not deleting
4362624,AutomationProcess_29697\mySPIntegratedSolutionPlatform\TechAvengers,TechAvengers,jayanth.kumar,madhuri.chintala,Ready to Deploy,2 - High,SI,"21st Feb | UAT1 | SI DCSO | Solution Line IDs are changing for the rows which are not modified, on exporting the staffing file"
4362663,AutomationProcess_29697\mySPIntegratedSolutionPlatform\GoRetro,GoRetro,sankaran.viswanathan,madhuri.chintala,Active,3 - Medium,Global,Feb 21 || UAT 1 || DFD ||The Request is not moving to Assigned Tab in PMO after doing Assignment from Self Assign
4363093,AutomationProcess_29697\mySPIntegratedSolutionPlatform\myISP_IMS,myISP_IMS,rajaraman.mahalingam,Rajsingh.rajput,Active,3 - Medium,Global,"Prod Defect - In Pricing screen - Deal wide Pricing Option if we change from one option to another Monthly cell, value % column is not editable"
4363326,AutomationProcess_29697\mySPIntegratedSolutionPlatform\myISP_BPMS,myISP_BPMS,biju.balakrishnan,Rajsingh.rajput,New,2 - High,Global,21 Feb | UAT1 | BPMS OCP | Cost per FTE | Cost per FTE Values are not in sync between BPMS report and OCP report
4363372,AutomationProcess_29697\mySPIntegratedSolutionPlatform\DynamicDev,DynamicDev,c.dhiman,madhuri.chintala,New,3 - Medium,Global,21 Feb |UAT_Myisp| PLD Cross Service |Action UI issues – Assigned/Unassigned
